subplot_epsilon,ligand_monomer_count,series_label,row_type,point_index,x_raw,x_normalized,y,fit_alpha,fit_nu,M,plot_color_index
5,5,polyligand (N=5),scatter,3,4,0.2857142857142857,2.783477306365967,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),scatter,4,5,0.35714285714285715,2.8686957359313965,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),scatter,5,6,0.42857142857142855,2.880918502807617,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),scatter,6,7,0.5,2.926647424697876,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),scatter,7,8,0.5714285714285714,3.0271730422973633,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),scatter,8,9,0.6428571428571429,2.9442386627197266,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),scatter,9,10,0.7142857142857143,2.858363628387451,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),scatter,10,11,0.7857142857142857,2.8092052936553955,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),scatter,11,12,0.8571428571428571,2.617797852,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),scatter,12,13,0.9285714285714286,2.3185434341430664,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),scatter,13,14,1,1.7890782356262207,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),fit,0,1,0.10142857142857142,2.1103121002702014,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),fit,1,2,0.17285714285714285,2.4719418489004363,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),fit,2,3,0.24428571428571427,2.683598008969877,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),fit,3,4,0.3157142857142857,2.820139551342077,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),fit,4,5,0.3871428571428571,2.907146268133521,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),fit,5,6,0.4585714285714285,2.955954256776448,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),fit,6,7,0.53,2.971719894374896,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),fit,7,8,0.6014285714285714,2.955954256776448,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),fit,8,9,0.6728571428571429,2.907146268133521,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),fit,9,10,0.7442857142857143,2.820139551342077,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),fit,10,11,0.8157142857142857,2.683598008969877,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),fit,11,12,0.8871428571428571,2.4719418489004363,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),fit,12,13,0.9585714285714286,2.1103121002702014,2.1510458424594576,0.6289895695075194,15,0
10,1,monoligand (N=1),scatter,0,1,0.071428571,1.8104610443115234,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),scatter,1,2,0.14285714285714285,2.3129961490631104,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),scatter,2,3,0.21428571428571427,2.6499054431915283,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),scatter,3,4,0.2857142857142857,2.7910468578338623,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),scatter,4,5,0.35714285714285715,2.915576934814453,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),scatter,5,6,0.42857142857142855,2.975543737411499,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),scatter,6,7,0.5,2.9773459434509277,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),scatter,7,8,0.5714285714285714,2.9800121784210205,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),scatter,8,9,0.6428571428571429,2.9487318992614746,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),scatter,9,10,0.7142857142857143,2.894876003265381,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),scatter,10,11,0.7857142857142857,2.769446611404419,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),scatter,11,12,0.8571428571428571,2.6357131004333496,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),scatter,12,13,0.9285714285714286,2.4225733280181885,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),scatter,13,14,1,1.877989411354065,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),fit,0,1,0.10142857142857142,2.115343343612538,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),fit,1,2,0.17285714285714285,2.4838110258324257,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),fit,2,3,0.24428571428571427,2.699859284705965,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),fit,3,4,0.3157142857142857,2.8393733793803144,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),fit,4,5,0.3871428571428571,2.928328266042323,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),fit,5,6,0.4585714285714285,2.97824695,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),fit,6,7,0.53,2.9943740495589433,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),fit,7,8,0.6014285714285714,2.97824695,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),fit,8,9,0.6728571428571429,2.928328266042323,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),fit,9,10,0.7442857142857143,2.8393733793803144,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),fit,10,11,0.8157142857142857,2.699859284705965,2.156802078164472,0.6309539850002157,15,1
10,1,monoligand (N=1),fit,11,12,0.8871428571428571,2.4838110258324257,2.156802078164472,0.6309539850002157,15,1
